trial,timepoints,vdcc_c0,vdcc_c1,vdcc_c2,vdcc_c3,vdcc_o,ca_sum,ca
1000.0,9.169,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.17,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.171,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.172,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.173,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.174,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.175,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.176,56.0,8.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.177,56.0,8.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.178,57.0,7.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.179,57.0,7.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.18,57.0,7.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.181000000000001,57.0,7.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.182,57.0,7.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.183,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.184000000000001,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.185,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.186,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.187,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.188,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.189,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.19,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.191,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
