trial,timepoints,h0m0,h0m1,h0m2,h1m0,h1m1,h1m2,h2m0,h2m1,h2m2,ca
1000.0,0.003191,4864.0,4271.0,949.0,4414.0,3882.0,834.0,1023.0,851.0,191.0,75.0
1000.0,0.003192,4864.0,4271.0,949.0,4414.0,3882.0,834.0,1024.0,850.0,191.0,76.0
1000.0,0.0031929999999999997,4864.0,4271.0,949.0,4414.0,3882.0,834.0,1024.0,850.0,191.0,76.0
1000.0,0.003194,4864.0,4271.0,949.0,4416.0,3880.0,834.0,1024.0,850.0,191.0,78.0
1000.0,0.003195,4864.0,4271.0,949.0,4417.0,3879.0,834.0,1024.0,850.0,191.0,79.0
1000.0,0.003196,4865.0,4270.0,949.0,4418.0,3878.0,834.0,1024.0,850.0,191.0,81.0
1000.0,0.0031969999999999998,4865.0,4270.0,949.0,4418.0,3878.0,834.0,1024.0,850.0,191.0,81.0
1000.0,0.003198,4863.0,4271.0,949.0,4418.0,3879.0,834.0,1024.0,850.0,191.0,78.0
1000.0,0.003199,4863.0,4271.0,949.0,4417.0,3880.0,835.0,1024.0,850.0,190.0,78.0
1000.0,0.0031999999999999997,4863.0,4271.0,949.0,4417.0,3880.0,835.0,1024.0,850.0,190.0,78.0
1000.0,0.003201,4863.0,4271.0,949.0,4417.0,3880.0,835.0,1024.0,850.0,190.0,78.0
1000.0,0.003202,4862.0,4272.0,949.0,4417.0,3880.0,835.0,1024.0,850.0,190.0,77.0
1000.0,0.0032029999999999997,4862.0,4272.0,949.0,4417.0,3880.0,835.0,1024.0,850.0,190.0,77.0
1000.0,0.003204,4862.0,4272.0,949.0,4418.0,3879.0,835.0,1024.0,850.0,190.0,78.0
1000.0,0.003205,4862.0,4272.0,949.0,4417.0,3880.0,835.0,1024.0,850.0,190.0,77.0
1000.0,0.0032059999999999996,4862.0,4272.0,949.0,4415.0,3882.0,835.0,1024.0,850.0,190.0,75.0
1000.0,0.0032069999999999998,4861.0,4273.0,949.0,4415.0,3882.0,835.0,1024.0,850.0,190.0,74.0
1000.0,0.003208,4861.0,4273.0,949.0,4415.0,3882.0,835.0,1024.0,850.0,190.0,74.0
1000.0,0.003209,4861.0,4273.0,949.0,4415.0,3882.0,835.0,1024.0,850.0,190.0,74.0
1000.0,0.0032099999999999997,4861.0,4274.0,948.0,4415.0,3882.0,835.0,1024.0,850.0,190.0,75.0
1000.0,0.003211,4860.0,4275.0,948.0,4415.0,3882.0,835.0,1024.0,850.0,190.0,74.0
1000.0,0.003212,4859.0,4276.0,948.0,4415.0,3883.0,834.0,1024.0,850.0,190.0,74.0
1000.0,0.0032129999999999997,4859.0,4276.0,948.0,4416.0,3882.0,834.0,1024.0,850.0,190.0,75.0
1000.0,0.003214,4859.0,4276.0,948.0,4416.0,3882.0,834.0,1024.0,850.0,190.0,75.0
1000.0,0.003215,4859.0,4276.0,948.0,4416.0,3881.0,835.0,1024.0,850.0,190.0,74.0
1000.0,0.0032159999999999997,4859.0,4276.0,948.0,4415.0,3882.0,835.0,1024.0,850.0,190.0,73.0
1000.0,0.003217,4859.0,4277.0,947.0,4414.0,3883.0,835.0,1023.0,851.0,190.0,72.0
1000.0,0.003218,4859.0,4277.0,947.0,4414.0,3883.0,835.0,1023.0,851.0,190.0,72.0
1000.0,0.0032189999999999996,4859.0,4277.0,947.0,4414.0,3883.0,835.0,1023.0,851.0,190.0,72.0
1000.0,0.0032199999999999998,4859.0,4277.0,947.0,4414.0,3883.0,835.0,1023.0,851.0,190.0,72.0
1000.0,0.003221,4859.0,4277.0,947.0,4414.0,3883.0,835.0,1023.0,851.0,190.0,72.0
1000.0,0.003222,4858.0,4277.0,947.0,4416.0,3882.0,835.0,1023.0,851.0,190.0,72.0
